ordering,ppmRepPotus,ppmDemPotus,1M-ppmDemPotus,ppmRepOther,ppmDemOther,1M-ppmDemOther,BonusToTrump,BonusToBiden,totalBallots,locality
 225938, 133689, 847593, 152407,  61497, 885026, 114974, 860960, 312835,    374,CityofMilwaukeeWard170
 306700, 286082, 682989, 317011, 213917, 688144, 311856, 860825, 474225,    388,CityofMilwaukeeWard282
 310395, 292134, 702247, 297753, 216292, 702247, 297753, 879210, 500000,    356,CityofMilwaukeeWard310
 336403, 231083, 752556, 247444, 159509, 746421, 253579, 857870, 530675,    489,CityofMilwaukeeWard238
 352938, 187500, 786764, 213236, 139705, 797794, 202206, 738975, 444850,    272,CityofMilwaukeeWard256
 358683, 108941, 869475, 130525,  73997, 891058, 108942, 674720, 392085,    973,CityofMilwaukeeWard68
 374033, 236434, 748062, 251938, 203488, 765503, 234497, 664730, 412795,    516,CityofMilwaukeeWard13
 379808, 174679, 814102, 185898, 134615, 822115, 177885, 700320, 459935,    624,CityofMilwaukeeWard27
 388723, 183976, 807121, 192879, 127596, 795252, 204748, 781900, 559345,    337,CityofMilwaukeeWard229
 389298, 228782, 752767, 247233, 166051, 734317, 265683, 813655, 592250,    271,CityofMilwaukeeWard231
 390875, 166666, 833333, 166667, 115079, 825396, 174604, 757935, 539685,    252,CityofMilwaukeeWard226
 393290, 422256, 560975, 439025, 362804, 544207, 455793, 797260, 583840,    656,CityofMilwaukeeWard311
 400428, 280227, 711237, 288763, 231863, 702702, 297298, 741820, 542675,    703,CityofMilwaukeeWard284
 409698, 304182, 678707, 321293, 250950, 661596, 338404, 766160, 585555,    526,CityofMilwaukeeWard291
 411590, 218074, 768172, 231828, 174852, 760314, 239686, 716110, 539290,    509,CityofMilwaukeeWard219
 416790, 236006, 753403, 246597, 186081, 736762, 263238, 749625, 583205,    661,CityofMilwaukeeWard223
 416888, 312500, 672872, 327128, 263297, 656914, 343086, 746015, 579790,    752,CityofMilwaukeeWard308
 417063,  23696, 947867,  52133,   9478, 966824,  33176, 571090, 405215,    211,CityofMilwaukeeWard145
 418755, 358402, 624883, 375117, 323119, 622098, 377902, 676415, 513925,   1077,CityofMilwaukeeWard288
 426468, 222689, 752100, 247900, 189075, 747899, 252101, 668070, 521005,    238,CityofMilwaukeeWard251
 426470, 129411, 858823, 141177,  97058, 855882, 144118, 661765, 514705,    340,CityofMilwaukeeWard201
 426615,  43052, 943248,  56752,  17612, 947162,  52838, 627200, 480430,    511,CityofMilwaukeeWard113
 428368,  94555, 893982, 106018,  63037, 891117, 108883, 657590, 514325,    349,CityofMilwaukeeWard24
 428468, 114449, 868383, 131617,  82975, 865522, 134478, 657370, 514305,    699,CityofMilwaukeeWard26
 431103, 204724, 783464, 216536, 161417, 767716, 232284, 716535, 578740,    254,CityofMilwaukeeWard255
 432915, 110912, 878354, 121646,  80500, 874776, 125224, 652060, 517890,    559,CityofMilwaukeeWard193
 434088,  37664, 954802,  45198,  20715, 964218,  35782, 584745, 452920,    531,CityofMilwaukeeWard63
 434210,  36842, 952631,  47369,  21052, 963157,  36843, 578950, 447370,    190,CityofMilwaukeeWard161
 434818,  50613, 938650,  61350,  27607, 941717,  58283, 615030, 484665,    652,CityofMilwaukeeWard121
 435198, 211459, 776261, 223739, 178717, 769440, 230560, 663710, 534105,    733,CityofMilwaukeeWard218
 437958, 239416, 738686, 261314, 189781, 713868, 286132, 748175, 624090,    685,CityofMilwaukeeWard217
 437998,  70436, 922619,  77381,  52579, 929563,  70437, 589285, 465280,   1008,CityofMilwaukeeWard14
 440090, 220043, 762527, 237473, 185185, 751633, 248367, 674290, 554470,    459,CityofMilwaukeeWard225
 440300,  71641, 922388,  77612,  56716, 931343,  68657, 574625, 455225,    670,CityofMilwaukeeWard71
 441060, 241650, 746561, 253439, 198428, 726915, 273085, 716110, 598230,    509,CityofMilwaukeeWard259
 441343,  90502, 898324, 101676,  71508, 902793,  97207, 594970, 477655,    895,CityofMilwaukeeWard44
 442008, 448275, 537304, 462696, 406896, 519122, 480878, 706895, 590910,   1595,CityofCudahyWards789
 446668, 493333, 497333, 502667, 460000, 485333, 514667, 666665, 560000,    750,CityofMilwaukeeWard316
 448898,  39308, 946540,  53460,  25157, 952830,  47170, 570755, 468550,    636,CityofMilwaukeeWard58
 449040, 332955, 644394, 355606, 295583, 627406, 372594, 686860, 584940,    883,CityofMilwaukeeWard213
 449358,  42357, 941068,  58932,  23941, 942909,  57091, 592080, 490795,    543,CityofMilwaukeeWard62
 450593,  67193, 928853,  71147,  39525, 920948,  79052, 638340, 539525,    253,CityofMilwaukeeWard43
 451088,  80434, 913043,  86957,  63043, 915217,  84783, 586955, 489130,    920,CityofMilwaukeeWard72
 452380, 323809, 659523, 340477, 280952, 635714, 364286, 714285, 619045,    420,CityofMilwaukeeWard286
